sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,10,3123,15,0.921,"{'es': 1949, 'en': 1002, 'fr': 58, 'de': 42, 'it': 29, 'nl': 12, 'pt': 10, 'pl': 5, 'sv': 4, 'ca': 3, 'no': 2, 'so': 2, 'ru': 2, 'ko': 2, 'zh-tw': 1}",es,62.41,8,11
negativo,19,49,5,0.92,"{'es': 32, 'en': 13, 'it': 2, 'fr': 1, 'de': 1}",es,65.31,4,8
negativo,170,49,5,0.92,"{'es': 32, 'en': 13, 'fr': 2, 'de': 1, 'it': 1}",es,65.31,5,6
negativo,70,49,5,0.916,"{'es': 36, 'fr': 6, 'de': 3, 'en': 2, 'it': 2}",es,73.47,4,5
positivo,17,2758,8,0.913,"{'es': 1770, 'en': 807, 'fr': 70, 'it': 57, 'nl': 32, 'de': 17, 'pt': 4, 'sl': 1}",es,64.18,8,11
negativo,192,155,5,0.912,"{'es': 110, 'en': 27, 'fr': 10, 'it': 5, 'de': 3}",es,70.97,4,9
negativo,126,21,4,0.902,"{'es': 14, 'en': 5, 'fr': 1, 'de': 1}",es,66.67,3,5
negativo,65,464,15,0.9,"{'es': 340, 'en': 90, 'fr': 9, 'pt': 7, 'it': 4, 'de': 2, 'ar': 2, 'zh-cn': 2, 'nl': 2, 'sl': 1, 'sk': 1, 'pl': 1, 'el': 1, 'bg': 1, 'no': 1}",es,73.28,8,10
positivo,16,2648,21,0.898,"{'es': 1663, 'en': 860, 'fr': 46, 'it': 28, 'de': 14, 'nl': 8, 'pt': 6, 'pl': 5, 'ro': 3, 'hr': 2, 'he': 2, 'tr': 2, 'af': 1, 'cs': 1, 'hu': 1, 'no': 1, 'fi': 1, 'ru': 1, 'da': 1, 'ja': 1, 'sl': 1}",es,62.8,8,10
positivo,31,1869,12,0.894,"{'es': 1150, 'en': 632, 'fr': 36, 'de': 13, 'pt': 10, 'da': 8, 'it': 6, 'nl': 5, 'hu': 3, 'sl': 2, 'fi': 2, 'sk': 2}",es,61.53,8,10
negativo,159,109,5,0.886,"{'es': 77, 'en': 19, 'fr': 10, 'de': 2, 'it': 1}",es,70.64,4,9
negativo,85,166,5,0.882,"{'es': 114, 'en': 39, 'fr': 5, 'it': 5, 'de': 3}",es,68.67,6,7
negativo,137,514,16,0.876,"{'es': 390, 'en': 85, 'fr': 12, 'it': 4, 'pl': 4, 'pt': 4, 'nl': 3, 'fi': 2, 'cs': 2, 'ko': 2, 'de': 1, 'el': 1, 'zh-tw': 1, 'tr': 1, 'sk': 1, 'ro': 1}",es,75.88,8,11
positivo,28,2213,12,0.873,"{'es': 1503, 'en': 585, 'it': 38, 'fr': 37, 'pt': 15, 'nl': 15, 'de': 14, 'cs': 2, 'af': 1, 'pl': 1, 'fi': 1, 'sv': 1}",es,67.92,8,10
negativo,173,255,5,0.866,"{'es': 147, 'en': 97, 'it': 5, 'fr': 4, 'de': 2}",es,57.65,7,10
negativo,132,167,5,0.859,"{'es': 114, 'en': 42, 'de': 4, 'fr': 4, 'it': 3}",es,68.26,5,7
negativo,198,134,5,0.859,"{'es': 96, 'en': 26, 'fr': 7, 'it': 3, 'de': 2}",es,71.64,6,9
positivo,29,2130,11,0.854,"{'es': 1473, 'en': 540, 'fr': 50, 'de': 20, 'pt': 18, 'it': 14, 'ca': 5, 'ru': 3, 'ro': 3, 'sk': 2, 'cs': 2}",es,69.15,8,11
negativo,129,106,5,0.851,"{'es': 69, 'en': 31, 'it': 4, 'de': 1, 'fr': 1}",es,65.09,7,8
negativo,100,161,5,0.849,"{'es': 116, 'en': 31, 'it': 8, 'fr': 4, 'de': 2}",es,72.05,4,9
negativo,174,118,5,0.849,"{'es': 87, 'en': 19, 'fr': 7, 'de': 3, 'it': 2}",es,73.73,5,6
negativo,112,600,15,0.848,"{'es': 466, 'en': 87, 'fr': 11, 'pt': 10, 'it': 6, 'pl': 5, 'hr': 3, 'nl': 3, 'de': 2, 'da': 2, 'sk': 1, 'zh-tw': 1, 'ko': 1, 'hu': 1, 'ro': 1}",es,77.67,8,12
