id,ciudad,titulo,rating,precio
book_a0202,Barcelona,Recorrido a pie por Barcelona: Barrio Gótico y el Born,4.8,4.0
book_a0203,Barcelona,Montserrat grupo pequeño con teleférico y tren cremallera,4.7,95.0
book_a0204,Barcelona,Masterclass de cócteles y tapas en Barcelona,4.7,40.0
book_a0205,Barcelona,Excursión por la costa: excursión por la ciudad de Barcelona en autobús con paradas libres,3.8,33.0
book_a0206,Barcelona,Noche flamenca en el Tablao Cordobés,4.3,48.0
book_a0207,Barcelona,Viaje de un día a Andorra y Francia desde Barcelona,4.0,109.0
book_a0208,Barcelona,Tarjeta de viaje Hola Barcelona,4.1,21.0
book_a0209,Barcelona,Ticket de ida y vuelta en teleférico desde la playa de la Barceloneta,2.0,22.0
book_a0210,Barcelona,Recorrido guiado rápido por la Sagrada Familia,4.1,55.0
book_a0211,Barcelona,Tour gastronómico por Barcelona: Mercado y Barrio Gótico con guía experto,4.6,45.0
book_a0212,Barcelona,Paddle Surf al Amanecer con Instructor y Fotos Incluidas,4.39,30.0
book_a0213,Barcelona,Salida del sol o luna llena Paddle Surf Experience,5.0,35.0
book_a0214,Barcelona,Tour inmersivo Camp Nou en el emblemático estadio de Barcelona,4.39,125.0
book_a0215,Barcelona,"Crucero en yate de lujo por Barcelona – Día o puesta de sol, barra libre y aperitivos",4.39,59.0
book_a0216,Barcelona,Excursión para grupos pequeños a Gerona y la Costa Brava con recogida en el hotel,4.7,99.0
book_a0217,Barcelona,Familia Torres Winery Tour,4.39,125.0
book_a0218,Barcelona,Vuelo en helicóptero y Paseo en Barco en Barcelona,4.39,119.0
book_a0219,Barcelona,Tres países en un día,4.8,139.0
book_a0220,Barcelona,Tour guiado por la Casa Vicens,4.7,24.0
book_a0221,Barcelona,Tour Experto de Barcelona en Eco Tuk Tuk Privado,4.7,89.0
book_a0222,Barcelona,Barcelona Sailing Experience 2 hs con aperitivos y bebidas Premium,5.0,55.0
book_a0223,Barcelona,Experiencia inmersiva en IKONO Barcelona,3.7,18.0
book_a0224,Barcelona,Visita con degustación de turrones Vicens y chocolates Jolonch,4.5,12.0
book_a0225,Barcelona,"Barcelona: Sagrada Familia, Modernismo y Barrio Gótico",4.4,55.0
book_a0226,Barcelona,Barcelona Guitar Trio & Flamenco Show at Royal Artistic Circle,4.8,25.0
book_a0227,Barcelona,Espectáculo nocturno en la azotea de la Casa Batlló,3.0,59.0
book_a0228,Barcelona,Tour de Bienvenida a Barcelona en Eco Tuk Tuk Privado,4.7,89.0
book_a0229,Barcelona,Barcelona 20 mejores lugares de interés con guía local en bicicleta/bicicleta eléctrica,4.6,25.0
book_a0230,Barcelona,Excursión a Montserrat con Comida y Cata de Vinos Gourmet,4.9,54.0
book_a0231,Barcelona,Audioguía para conocer lo más destacado de la ciudad,3.5,4.0
book_a0232,Barcelona,Tablao Flamenco El Paraigua Espectáculo flamenco Barcelona modernista,5.0,29.0
book_a0233,Barcelona,Tour de kayak y snorkel,5.0,84.0
book_a0234,Barcelona,Barcelona City Tour Hop-On Hop-Off con Barco Opcional,3.9,33.0
book_a0235,Barcelona,Parasailing en Barcelona,4.39,79.0
book_a0236,Barcelona,Tour a pie por el Barrio Gótico con tapas y flamenco,4.8,59.0
book_a0237,Barcelona,"Visita al Museo Dalí, Casa Dalí y Cadaqués para grupos pequeños desde Barcelona",4.7,103.55
book_a0238,Barcelona,"Girona, Figueres, Museo Dalí y Excursión a Cadaqués desde Barcelona",4.4,55.0
book_a0239,Barcelona,Entrada programada a Casa Mila en Barcelona con Audioguía,4.39,39.0
book_a0240,Barcelona,Descubre el Buceo PADI en Barcelona,4.6,65.0
book_a0241,Barcelona,Crucero en catamarán por Barcelona,3.8,13.0
book_a0242,Barcelona,Consigna de Equipajes en Barcelona / Locker / Luggage storage,5.0,9.0
book_a0243,Barcelona,Visita guiada al Parque Güell con acceso prioritario,4.39,40.0
book_a0244,Barcelona,Tour por Montjuïc con espectáculo de la Fuente Mágica,4.3,74.0
book_a0245,Barcelona,Barcelona Card con guía,4.2,59.0
book_a0246,Barcelona,PortAventura Park y Ferrari Land - 1 a 3 días,3.4,54.0
book_a0247,Barcelona,Entrada al rascacielos Mirador Torre Glòries,4.2,18.0
book_a0248,Barcelona,Vía Rápida: Visita Guiada a la Sagrada Familia,3.2,42.0
book_a0249,Barcelona,Barcelona Sailing Experience,4.39,55.0
book_a0250,Barcelona,Barcelona Premium Paella & Sangria Class en una impresionante lacación,5.0,80.0
book_a0251,Barcelona,Visita guiada al Museo de las Ilusiones,3.7,15.0
book_a0252,Barcelona,Entrada al Museo Olímpico y del Deporte Juan Antonio Samaranch,4.8,6.0
book_a0253,Barcelona,"360º Barcelona: Visita del Casco Antiguo, Vuelo en Helicóptero y Paseo en Barco",4.3,144.36
book_a0254,Barcelona,Crucero de jazz al atardecer,4.39,26.0
book_a0255,Barcelona,Viaje en helicóptero por la costa de Barcelona,4.4,110.0
book_a0256,Barcelona,Entrada a la Experiencia Gaudí,4.39,9.0
book_a0257,Barcelona,Visita guiada a la Sagrada Familia y Parque Güell con transporte,4.39,109.0
book_a0258,Barcelona,Excursión en grupo reducido a Girona y la Costa Brava desde Barcelona,4.8,100.0
book_a0259,Barcelona,Tour a pie por Montjuic Park con audioguía en tu smartphone,3.3,7.0
book_a0260,Barcelona,"Amanecer en Barcelona, SUP con Guías Certificados",4.39,45.0
book_a0261,Barcelona,Tour Guiado al Park Güell con acceso rápido,3.3,39.0
book_a0262,Barcelona,Búsqueda del tesoro en Barcelona y visita autoguiada a lo más destacado,4.0,6.0
book_a0263,Barcelona,Tour interactivo por la ciudad de Barcelona,5.0,7.0
book_a0264,Barcelona,Visita guiada a la antigua fábrica de cerveza Estrella Damm Barcelona con degustación de cerveza,3.5,20.0
book_a0265,Barcelona,Barcelona: Speakeasy Bar Crawl con bebidas gratis y discoteca VIP,4.39,39.0
book_a0266,Barcelona,Tour a pie por la vida de Gaudí y la arquitectura,5.0,5.0
book_a0267,Barcelona,Visita guiada a la Sagrada Familia con entradas sin colas,4.4,49.0
book_a0268,Barcelona,Tarjetas Barcelona City Card y Express Card,4.3,27.0
book_a0269,Barcelona,Consigna de Equipaje en Barcelona en la Estación de Sants,5.0,7.0
book_a0270,Barcelona,Tour guiado de día completo por Tossa de Mar,5.0,116.0
book_a0271,Barcelona,Tarjeta City Pass de Barcelona,4.5,57.0
book_a0272,Barcelona,Crucero de 2 horas en Barcelona,4.9,44.0
book_a0273,Barcelona,Visita a pie de cata de vinos y tapas para grupos pequeños,4.8,95.0
book_a0274,Barcelona,Tour por el Museo Picasso,4.39,36.0
book_a0275,Barcelona,Museo Moco de Barcelona – Visita Guiada,4.39,38.0
book_a0276,Barcelona,Tour nocturno de Barcelona en moto con sidecar,4.39,245.0
book_a0277,Barcelona,Clase de mosaicos para niños en Barcelona,4.7,30.0
book_a0278,Barcelona,Sunny Barcelona Sesión de fotos,4.6,45.0
book_a0279,Barcelona,Visita guiada para grupos pequeños de la Sagrada Familia con entrada sin colas,4.7,74.0
book_a0280,Barcelona,Recorrido en bicicleta eléctrica por Barcelona de Gaudí o barrios bohemios,4.8,32.0
book_a0281,Barcelona,Tour por Montserrat desde Barcelona,4.39,50.0
book_a0282,Barcelona,Excursión para grupos pequeños a Montserrat con caminata sencilla y teleférico desde Barcelona,4.9,69.84
book_a0283,Barcelona,Crucero en catamarán al atardecer con música en directo en Barcelona,3.4,15.0
book_a0284,Barcelona,La experiencia Gaudí: crear su propio mosaico estilo «trencadís»,4.9,50.0
book_a0285,Barcelona,Excursión de un día en grupo pequeño a los Pirineos desde Barcelona,4.9,119.0
book_a0286,Barcelona,Hard Rock Café de Barcelona con comida,3.7,29.0
book_a0287,Barcelona,Tour de fiesta divertida de 4 horas en Barcelona,3.7,20.0
book_a0288,Barcelona,Barcelona Tour with Sagrada Família Access,4.3,69.0
book_a0289,Barcelona,Barcelona: Visita guiada a la Sagrada Familia con acceso rápido,4.2,45.0
book_a0290,Barcelona,"Tour a Montserrat con tren cremallera, Basílica y cata de licores",4.5,59.0
book_a0291,Barcelona,Vela al atardecer en Barcelona y música en vivo de Aperol,3.4,26.0
book_a0292,Barcelona,Montserrat Early Small Group Tour with Hiking and Cable Car,4.8,75.0
book_a0293,Barcelona,Visita guiada a la Sagrada Familia y al Parque Güell con acceso sin colas,3.8,101.0
book_a0294,Barcelona,Sagrada Familia: Visita Guiada con Acceso Rápido,4.5,65.0
book_a0295,Barcelona,Recorrido de tapas por Barcelona para grupos pequeños con un lugareño,4.9,93.0
book_a0296,Barcelona,Traslado en taxi del aeropuerto de Barcelona al centro de la ciudad,5.0,60.0
book_a0297,Barcelona,Vuelo en helicóptero por la costa,4.39,119.0
book_a0298,Barcelona,Combo: Visita guiada Sagrada Familia y Parque Güell,4.5,73.0
book_a0299,Barcelona,Tour de aventura en globo aerostático y navegación a vela desde Barcelona,4.39,305.0
book_a0300,Barcelona,White Rabbit - The Off-Museum of Barcelona,5.0,15.0
book_a0301,Barcelona,"Taller de coctelería en Barcelona, Shake Cook & Paint 3 cócteles",4.39,75.0
book_a0302,Barcelona,Visita guiada Sagrada Familia & Park Güell,4.39,92.0
